"","id","pert_id","pert_iname","cell_iname","pert_type","pert_idose","pert_itime","nsample","ss_ngene","cc_q75","tas","qc_pass","is_hiq","is_ncs_sig","is_exemplar_sig","is_null_sig","moa","target_name","raw_cs","fdr_q_nlog10","norm_cs"
"3495","CPC006_H1299_6H:BRD-A09533288-003-20-5:10","BRD-A09533288","verapamil","H1299","trt_cp","10 uM","6 h",2,113,"0.53","0.247462",0,0,1,1,0,"Calcium channel blocker","CACNA1C|CACNA1D|CACNA1G|CACNA1S|CYP2C8|CYP2E1|CYP3A5|CYP3A7|DRD2|CACNA1A|CACNA1B|CACNA1F|CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4","0.767","1.9154","1.6923"
"3500","MUC.CP008_P1A82_24H:M19","BRD-K32330832","VER-155008","P1A82","trt_cp","12 uM","24 h",3,283,"0.55","0.398938",1,1,1,1,0,"HSP inhibitor","HSPA1A","0.7669","1.9151","1.6921"
"3514","CPC004_HA1E_24H:BRD-K00234327-001-01-4:10","BRD-K00234327","RU-24969","HA1E","trt_cp","10 uM","24 h",3,269,"0.34","0.305806",1,0,1,1,0,"Serotonin receptor agonist","HTR1A|HTR1B|HTR6|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A","0.7667","1.9146","1.6917"
"3524","CPC006_SW480_6H:BRD-K06854232-001-03-3:10","BRD-K06854232","AM-580","SW480","trt_cp","10 uM","6 h",2,73,"0.02","0.0386373",0,0,1,1,0,"Retinoid receptor agonist","RARA","0.7666","1.9145","1.6915"
"3554","CPC009_HT29_6H:BRD-K35240538-001-19-7:10","BRD-K35240538","methylprednisolone","HT29","trt_cp","10 uM","6 h",3,292,"0.08","0.154549",1,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1","0.7661","1.9114","1.6903"
"3563","CPC006_HA1E_6H:BRD-K73789395-001-06-5:102.71","BRD-K73789395","ZM-336372","HA1E","trt_cp","100 uM","6 h",5,301,"0.44","0.367994",1,1,1,1,0,"RAF inhibitor","BRAF|LCK|MAPK14|RAF1","0.7659","1.9113","1.6899"
"3567","REP.A017_MCF10A_24H:G23","BRD-K63675182","triflupromazine","MCF10A","trt_cp","0.125 uM","24 h",3,225,"0.251","0.240303",0,0,1,1,0,"Dopamine receptor antagonist","DRD2|HTR2B|CHRNA7|CHRM1|CHRM2|DRD1","0.7659","1.9113","1.6899"
"3594","REP.A019_HT29_24H:B21","BRD-K45033733","famciclovir","HT29","trt_cp","1.11 uM","24 h",2,104,"0.2226","0.153854",0,0,1,1,0,"DNA inhibitor","-666","0.7655","1.9094","1.689"
"3629","REP.B003_HA1E_24H:M23","BRD-K35719256","rotundine","HA1E","trt_cp","0.03 uM","24 h",3,97,"0.0774","0.0876167",1,0,1,1,0,"Serotonin receptor agonist","DRD1|DRD2|HTR1A|HTR1D|HTR4|HTR7|DRD3","0.7649","1.9059","1.6878"
"3649","REP.A013_MCF7_24H:G07","BRD-K40227168","vinburnine","MCF7","trt_cp","6.66 uM","24 h",3,231,"0.4847","0.338355",1,1,1,1,0,"Adrenergic receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4","0.7647","1.905","1.6873"
"3738","CPC004_VCAP_6H:BRD-K20742498-003-01-1:10","BRD-K20742498","RS-39604","VCAP","trt_cp","10 uM","6 h",4,179,"0.24","0.209586",1,1,1,1,0,"Serotonin receptor antagonist","HTR4","0.7635","1.8997","1.6846"
"3792","CPC014_PHH_24H:BRD-K24859147-379-01-8:10","BRD-K24859147","KIN001-242","PHH","trt_cp","10 uM","24 h",4,272,"0.16","0.210948",0,0,1,1,0,"Protein kinase inhibitor","RPS6KA3","0.7628","1.8961","1.683"
"3854","REP.B008_MCF10A_24H:O22","BRD-K89704198","vincamine","MCF10A","trt_cp","0.08 uM","24 h",2,88,"0.1622","0.120808",0,0,1,1,0,"Adrenergic receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4","0.7621","1.8928","1.6814"
"3863","ASG002_PC3_24H:A07","BRD-K49049886","CGS-15943","PC3","trt_cp","10 uM","24 h",3,229,"0.4745","0.333324",1,1,1,1,0,"Adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3","0.762","1.8924","1.6812"
"3939","CPC002_VCAP_24H:BRD-K42452249-001-01-7:10","BRD-K42452249","EO-1428","VCAP","trt_cp","10 uM","24 h",3,203,"0.39","0.284519",1,0,1,1,0,"P38 MAPK inhibitor","MAPK11|MAPK14","0.7608","1.8856","1.6786"
"3989","REP.B013_HEK293_24H:N01","BRD-K42981054","mibampator","HEK293","trt_cp","2.22 uM","24 h",2,84,"0.2549","0.147964",1,1,1,1,0,"Glutamate receptor antagonist","GRIA1","0.7602","1.8813","1.6772"
"4002","REP.A025_A375_24H:C03","BRD-K98624455","bepotastine","A375","trt_cp","1.11 uM","24 h",3,95,"0.2673","0.161136",1,1,1,1,0,"Histamine receptor antagonist","HRH1","0.7601","1.8809","1.677"
"4010","REP.A010_THP1_24H:C01","BRD-K12423485","griseofulvin","THP1","trt_cp","10 uM","24 h",3,220,"0.1367","0.175358",1,0,1,1,0,"Tubulin inhibitor","KRT12","0.76","1.8807","1.6769"
"4023","CPC005_HA1E_6H:BRD-A66563878-003-01-8:10","BRD-A66563878","medetomidine","HA1E","trt_cp","10 uM","6 h",2,134,"0.27","0.192338",1,1,1,1,0,"Adrenergic receptor agonist","ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D","0.7599","1.8798","1.6766"
"4027","PAC001_U2OS_6H:BRD-K73381542-003-02-8:10","BRD-K73381542","phenylephrine","U2OS","trt_cp","10 uM","6 h",2,304,"0.52","0.40204",0,0,1,1,0,"Adrenergic receptor agonist","ADRA1A|ADRA1B|ADRA1D","0.7598","1.8797","1.6765"
"4050","CPC001_PC3_24H:J10","BRD-K16977723","PP-3","PC3","trt_cp","10 uM","24 h",5,98,"0.1029","0.101543",1,0,1,1,0,"EGFR inhibitor","-666","0.7596","1.8787","1.6759"
"4093","REP.A004_HT29_24H:I01","BRD-K22749967","ABT-239","HT29","trt_cp","10 uM","24 h",3,302,"0.4208","0.360472",0,0,1,1,0,"Histamine receptor antagonist","HRH3|HRH1|HRH2","0.7591","1.8757","1.675"
"4127","LIVB002_HUH7_72H:I17","BRD-K13112821","artemisinin","HUH7","trt_cp","12 uM","72 h",3,125,"0.08","0.101118",0,0,1,1,0,"DNA inhibitor","CYP2B6","0.7587","1.8714","1.674"
"4143","CPC005_PC3_24H:BRD-K93188295-300-01-4:10","BRD-K93188295","ARC-239","PC3","trt_cp","10 uM","24 h",5,159,"0.03","0.0698377",1,0,1,1,0,"Adrenergic receptor antagonist","ADRA2B|ADRA2A|ADRA2C","0.7585","1.8691","1.6735"
"4146","CPC014_NPC_24H:BRD-K64052750-001-05-0:10","BRD-K64052750","gefitinib","NPC","trt_cp","10 uM","24 h",3,181,"0.25","0.2151",0,0,1,1,0,"EGFR inhibitor","EGFR|CYP2C19","0.7584","1.8685","1.6734"
"4163","REP.B010_HT29_24H:K20","BRD-A14798026","mestranol","HT29","trt_cp","0.74 uM","24 h",2,115,"0.0494","0.0762154",1,1,1,1,0,"Estrogen receptor agonist","ESR1","0.7582","1.8662","1.673"
"4210","CPC017_ASC_24H:BRD-K02275692-003-03-4:10","BRD-K02275692","cefotiam","ASC","trt_cp","10 uM","24 h",3,48,"0.05","0.0495377",1,0,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.7578","1.8611","1.672"
"4213","NMH001_NEU_24H:BRD-A14969012-001-01-1:10","BRD-A14969012","SKF-83822","NEU","trt_cp","10 uM","24 h",3,171,"0.22","0.196128",0,0,1,1,0,"Dopamine receptor agonist","-666","0.7578","1.861","1.6719"
"4283","CPC018_ASC_24H:BRD-K08619574-334-03-9:10","BRD-K08619574","thioproperazine","ASC","trt_cp","10 uM","24 h",3,404,"0.27","0.333967",0,0,1,1,0,"Dopamine receptor antagonist","ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A","0.7568","1.8483","1.6698"
"4311","REP.A026_PC3_24H:C01","BRD-A88138582","halcinonide","PC3","trt_cp","10 uM","24 h",2,118,"0.2187","0.162441",0,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1","0.7565","1.8434","1.6691"
"4313","REP.A023_MDAMB231_24H:A12","BRD-A67862938","naftidrofuryl","MDAMB231","trt_cp","0.04 uM","24 h",2,133,"0.2389","0.180246",1,1,1,1,0,"Adrenergic receptor antagonist","-666","0.7565","1.8434","1.6691"
"4314","CPC015_A549_24H:BRD-K43290182-001-01-9:10","BRD-K43290182","Ro-04-6790","A549","trt_cp","10 uM","24 h",3,118,"0.28","0.183802",0,0,1,1,0,"Serotonin receptor antagonist","HTR6","0.7565","1.8433","1.6691"
"4336","REP.A028_THP1_24H:K03","BRD-K95901403","XL-147","THP1","trt_cp","1.11 uM","24 h",2,118,"0.0731","0.093914",0,0,1,1,0,"PI3K inhibitor","PIK3CG|PIK3CA|PIK3CD","0.7561","1.8392","1.6684"
"4351","CPC018_ASC_24H:BRD-K92778217-001-17-8:10","BRD-K92778217","mefenamic-acid","ASC","trt_cp","10 uM","24 h",3,119,"0.02","0.0493309",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS2|PTGS1|KCNQ1|TRPM3","0.756","1.8367","1.668"
"4372","CPC018_NPC_24H:BRD-K14965640-001-03-3:10","BRD-K14965640","BRD-K14965640","NPC","trt_cp","10 uM","24 h",3,99,"0.16","0.127265",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS2|PTGS1|ASIC1|BCL2|CFTR|FABP2|PLAT|PPARG|SLC5A8|THBD","0.7557","1.8328","1.6673"
"4427","LJP008_HUVEC.A_24H:H17","BRD-K77908580","entinostat","HUVEC","trt_cp","0.12 uM","24 h",2,122,"0.5118","0.252674",1,1,1,1,0,"HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9","0.7549","1.824","1.6657"
"4429","PBIOA020_HEPG2_24H:P17","BRD-K02292852","cefoperazone","HEPG2","trt_cp","0.125 uM","24 h",3,106,"0.22","0.154417",1,0,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.7549","1.824","1.6657"
"4463","LJP009_HUVEC_24H:F23","BRD-K87904882","chelerythrine","HUVEC","trt_cp","0.12 uM","24 h",3,147,"0.2854","0.207117",1,1,1,1,0,"Protein kinase inhibitor","-666","0.7545","1.82","1.6648"
"4484","CPC002_HCC515_24H:BRD-K04111260-001-05-0:10","BRD-K04111260","raclopride","HCC515","trt_cp","10 uM","24 h",3,169,"0.44","0.27574",1,0,1,1,0,"Dopamine receptor antagonist","DRD2|DRD3|HTR1A","0.7544","1.8186","1.6644"
"4501","CVD001_HUH7_6H:BRD-K21680192-300-04-5:2.5","BRD-K21680192","mitoxantrone","HUH7","trt_cp","2.5 uM","6 h",3,494,"0.63","0.564111",0,0,1,1,0,"Topoisomerase inhibitor","TOP2A|PIM1","0.7541","1.817","1.6639"
"4503","REP.B013_A549_24H:E14","BRD-K38868394","MK-0773","A549","trt_cp","0.74 uM","24 h",2,77,"0.2646","0.144335",1,1,1,1,0,"Androgen receptor antagonist","AR","0.7541","1.817","1.6639"
"4533","CPC017_MCF7_24H:BRD-K06208435-003-03-3:10","BRD-K06208435","YS-035","MCF7","trt_cp","10 uM","24 h",5,364,"0.19","0.265924",1,0,1,1,0,"Calcium channel blocker","-666","0.7538","1.8168","1.6632"
"4570","PAC005_U2OS_6H:BRD-A54236247-003-02-7:10","BRD-A54236247","racephedrine","U2OS","trt_cp","10 uM","6 h",2,40,"0.37","0.123016",1,1,1,1,0,"Adrenergic receptor agonist","-666","0.7535","1.8168","1.6624"
"4587","CPC004_HCC515_6H:BRD-K45861246-001-08-4:10","BRD-K45861246","azaperone","HCC515","trt_cp","10 uM","6 h",3,69,"0.31","0.147889",1,0,1,1,0,"Dopamine receptor antagonist","DRD2|DRD3","0.7533","1.8168","1.6621"
"4590","REP.B018_MCF7_24H:D21","BRD-K62762455","RU-58841","MCF7","trt_cp","0.25 uM","24 h",2,116,"0.4279","0.225284",1,1,1,1,0,"Androgen receptor antagonist","AR","0.7533","1.8168","1.662"
"4633","CPC004_VCAP_6H:BRD-K47659338-003-01-0:10","BRD-K47659338","EMD-386088","VCAP","trt_cp","10 uM","6 h",4,245,"0.25","0.250255",1,0,1,1,0,"Serotonin receptor agonist","HTR6","0.7528","1.8168","1.661"
"4641","REP.A023_HEK293_24H:A20","BRD-K68065987","MK-2206","HEK293","trt_cp","3.33 uM","24 h",3,412,"0.4313","0.426254",1,1,1,1,0,"AKT inhibitor","AKT1|AKT2|AKT3","0.7527","1.8168","1.6608"
"4647","REP.A010_PC3_24H:M17","BRD-K15010214","emedastine","PC3","trt_cp","0.125 uM","24 h",3,134,"0.2936","0.200568",0,0,1,1,0,"Histamine receptor antagonist","HRH1","0.7527","1.8168","1.6607"
"4648","REP.B012_A549_24H:M08","BRD-A02990301","lofexidine","A549","trt_cp","0.74 uM","24 h",2,80,"0.1434","0.108305",0,0,1,1,0,"Adrenergic receptor agonist","ADRA2A","0.7527","1.8168","1.6607"
"4661","REP.B017_A549_24H:K23","BRD-K67043667","altretamine","A549","trt_cp","0.03 uM","24 h",2,87,"0.2451","0.14766",1,1,1,1,0,"DNA inhibitor","-666","0.7526","1.8168","1.6605"
"4688","CPC003_HCC515_24H:BRD-K46469693-001-01-8:10","BRD-K46469693","SCH-442416","HCC515","trt_cp","10 uM","24 h",3,183,"0.2","0.193451",1,0,1,1,0,"Adenosine receptor antagonist","ADORA1|ADORA2A","0.7522","1.8168","1.6597"
"4703","REP.B008_HELA_24H:M11","BRD-K87990216","piretanide","HELA","trt_cp","0.03 uM","24 h",2,58,"0.1402","0.091184",0,0,1,1,0,"Glucocorticoid receptor agonist","SLC12A1|SLC12A2","0.752","1.8168","1.6592"
"4761","REP.B009_YAPC_24H:N07","BRD-K33127281","adapalene","YAPC","trt_cp","2.22 uM","24 h",2,127,"0.3403","0.210215",1,1,1,1,0,"Retinoid receptor agonist","RARB|RARG|RARA|RXRA|RXRB|RXRG","0.7514","1.8168","1.6578"
"4781","REP.B028_MCF7_24H:D01","BRD-A92826379","lupanine","MCF7","trt_cp","2.22 uM","24 h",2,110,"0.4069","0.21393",1,1,1,1,0,"Sodium channel inhibitor","INS","0.7512","1.8168","1.6574"
"4784","LKCP001_U2OS_6H:B13","BRD-K98493452","honokiol","U2OS","trt_cp","10 uM","6 h",4,194,"0.3856","0.276567",1,1,1,1,0,"AKT inhibitor","ALOX5|PTGS1|PTGS2","0.7512","1.8168","1.6574"
"4789","CPC015_HEPG2_6H:BRD-K59753853-001-01-5:10","BRD-K59753853","MDL-29951","HEPG2","trt_cp","10 uM","6 h",2,217,"0.07","0.124626",0,0,1,1,0,"Glutamate receptor antagonist","FBP1|GPR17","0.7511","1.8168","1.6573"
"4790","CPC005_PC3_6H:BRD-K40901640-001-01-0:10","BRD-K40901640","cinanserin","PC3","trt_cp","10 uM","6 h",4,418,"0.3","0.358079",0,0,1,1,0,"Serotonin receptor antagonist","HTR2A","0.7511","1.8168","1.6573"
"4816","REP.A019_HEK293_24H:A07","BRD-K44844162","taselisib","HEK293","trt_cp","10 uM","24 h",2,523,"0.7127","0.617355",0,0,1,1,0,"PI3K inhibitor","PIK3CA|PIK3CB|PIK3CD|PIK3CG","0.7509","1.8168","1.6567"
"4887","REP.B015_MCF7_24H:G24","BRD-A58048407","nimodipine","MCF7","trt_cp","0.01 uM","24 h",2,139,"0.3734","0.23037",1,1,1,1,0,"Calcium channel blocker","CACNA1C|NR3C2|CACNA1D|CACNA1F|CACNA1S|AHR|CACNB1|CACNB2|CACNB3|CACNB4|CFTR","0.75","1.8168","1.6548"
"4941","REP.A014_HELA_24H:D20","BRD-A57382968","piroxicam","HELA","trt_cp","3.33 uM","24 h",2,41,"0.0712","0.0546339",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS2|PTGS1","0.7495","1.8168","1.6537"
"4943","REP.B025_MCF7_24H:D01","BRD-A90799790","isradipine","MCF7","trt_cp","2.22 uM","24 h",2,133,"0.2603","0.188145",0,0,1,1,0,"Calcium channel blocker","CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA1H|CACNA2D2|CACNB2","0.7495","1.8168","1.6536"
"4951","REP.B004_PC3_24H:G21","BRD-A02006392","nitrendipine","PC3","trt_cp","0.25 uM","24 h",3,82,"0.1767","0.121718",1,0,1,1,0,"Calcium channel blocker","CACNA1C|CACNA1D|CACNA2D1|CACNA1H|CACNA1S|CACNA2D2|CACNB2|CACNG1|KCNN4","0.7494","1.8168","1.6534"
"5033","CPC017_MCF7_24H:BRD-K29173907-001-03-5:10","BRD-K29173907","isoflupredone-acetate","MCF7","trt_cp","10 uM","24 h",5,290,"0.25","0.27227",1,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1","0.7485","1.8168","1.6514"
"5073","CPC002_HCC515_24H:BRD-K10176267-001-02-5:10","BRD-K10176267","L-701252","HCC515","trt_cp","10 uM","24 h",3,214,"0.39","0.292126",0,0,1,1,0,"Glutamate receptor antagonist","GRIN1","0.7481","1.8166","1.6505"
"5094","LIVB001_HUH7_72H:I02","BRD-K16478699","PLX-4720","HUH7","trt_cp","1.11 uM","72 h",3,114,"0.13","0.123099",0,0,1,1,0,"RAF inhibitor","BRAF|KDR","0.7478","1.8164","1.65"
"5112","REP.A019_YAPC_24H:I06","BRD-K48195801","tecastemizole","YAPC","trt_cp","0.04 uM","24 h",3,128,"0.2373","0.176232",0,0,1,1,0,"Histamine receptor antagonist","HRH1|KCNH2","0.7476","1.8161","1.6495"
"5113","REP.B004_A549_24H:I19","BRD-K23363278","CYT-997","A549","trt_cp","2.22 uM","24 h",2,312,"0.5607","0.422935",0,0,1,1,0,"Tubulin inhibitor","TUBB","0.7476","1.8161","1.6495"
"5161","REP.A026_MCF10A_24H:D02","BRD-K88358234","xaliproden","MCF10A","trt_cp","3.33 uM","24 h",3,251,"0.172","0.210103",0,0,1,1,0,"Serotonin receptor agonist","HTR1A","0.7472","1.8155","1.6485"
"5179","CPC018_A375_6H:BRD-A43940795-001-03-6:10","BRD-A43940795","tetrahydropalmatine","A375","trt_cp","10 uM","6 h",5,178,"0.09","0.127986",0,0,1,1,0,"Serotonin receptor agonist","-666","0.747","1.8148","1.6481"
"5187","REP.A028_MDAMB231_24H:A13","BRD-K92441787","bexarotene","MDAMB231","trt_cp","10 uM","24 h",3,270,"0.3658","0.317786",0,0,1,1,0,"Retinoid receptor agonist","RXRA|RXRB|RXRG|ABCA1|CYP2C8|CYP3A4","0.7469","1.8142","1.6479"
"5208","CPC016_HT29_6H:BRD-K45479396-103-01-2:10","BRD-K45479396","BP-554","HT29","trt_cp","10 uM","6 h",5,284,"0.1","0.170408",1,0,1,1,0,"Serotonin receptor agonist","HTR1A","0.7467","1.8135","1.6474"
"5226","CPC014_HEPG2_6H:BRD-K62012036-001-06-0:10","BRD-K62012036","acitretin","HEPG2","trt_cp","10 uM","6 h",3,438,"0.03","0.115912",1,0,1,1,0,"Retinoid receptor agonist","RARA|RXRG|RARB|RARG|RBP1|RXRA|RXRB|STAT3","0.7465","1.8124","1.647"
"5235","REP.B013_MCF7_24H:J08","BRD-K41410256","balsalazide","MCF7","trt_cp","0.74 uM","24 h",2,48,"0.1705","0.0914773",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS1|PTGS2|ALOX5|PPARG","0.7464","1.8123","1.6469"
"5292","REP.B027_HA1E_24H:M08","BRD-K90868879","canagliflozin","HA1E","trt_cp","0.74 uM","24 h",2,81,"0.0647","0.0732024",1,0,1,1,0,"Sodium channel inhibitor","SLC5A2|SLC5A1|CYP2B6|CYP2C8","0.7458","1.809","1.6456"
"5302","REP.A020_HEK293_24H:M23","BRD-K48578705","methyldopa","HEK293","trt_cp","0.125 uM","24 h",2,100,"0.1233","0.112283",0,0,1,1,0,"Adrenergic receptor agonist","ADRA2A|DDC|ADRA2B|ADRA2C","0.7457","1.8083","1.6454"
"5311","REP.A025_PC3_24H:P03","BRD-K79131256","albendazole","PC3","trt_cp","1.11 uM","24 h",2,536,"0.7443","0.638685",1,1,1,1,0,"Tubulin inhibitor","CYP1A2|CYP2J2|TUBA1A|TUBB|TUBB4B","0.7456","1.807","1.6451"
"5328","CPC018_A375_6H:BRD-K15519488-001-01-6:10","BRD-K15519488","CS-110266","A375","trt_cp","10 uM","6 h",2,568,"0.14","0.285147",0,0,1,1,0,"Dopamine receptor agonist","SLC6A3","0.7455","1.8063","1.6448"
"5333","REP.A002_A375_24H:I01","BRD-K17026858","pibenzimol","A375","trt_cp","10 uM","24 h",3,330,"0.5057","0.41308",1,1,1,1,0,"DNA inhibitor","-666","0.7454","1.8058","1.6447"
"5336","LJP006_LNCAP_24H:A18","BRD-K87909389","alvocidib","LNCAP","trt_cp","0.04 uM","24 h",2,373,"0.7726","0.542828",1,1,1,1,0,"CDK inhibitor","CDK2|CDK4|CDK1|CDK6|CDK7|CDK9|CDK5|CDK8|EGFR|PYGM|BCL2|BIRC5|CCNT1|MCL1|XIAP","0.7454","1.8055","1.6447"
"5340","CPC005_A375_6H:BRD-A43671941-003-03-6:10","BRD-A43671941","oxprenolol","A375","trt_cp","10 uM","6 h",3,166,"0.28","0.218004",1,0,1,1,0,"Adrenergic receptor antagonist","ADRB1|ADRB2","0.7454","1.8052","1.6446"
"5360","CPC015_NPC_24H:BRD-K60770992-066-15-1:10","BRD-K60770992","pergolide","NPC","trt_cp","10 uM","24 h",4,111,"0.09","0.101068",0,0,1,1,0,"Dopamine receptor agonist","DRD1|DRD2|ADRA2A|ADRA2B|ADRA2C|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|KCNA5|ADRA1A|ADRA1B|ADRA1D","0.7452","1.8037","1.6442"
"5361","CPC016_HT29_6H:BRD-K72462751-001-01-9:10","BRD-K72462751","C-1","HT29","trt_cp","10 uM","6 h",5,304,"0.17","0.229875",0,0,1,1,0,"Protein kinase inhibitor","PRKCA","0.7452","1.8037","1.6442"
"5374","CPC014_NPC_24H:BRD-K83988098-003-01-8:10","BRD-K83988098","alvespimycin","NPC","trt_cp","10 uM","24 h",3,285,"0.23","0.258891",0,0,1,1,0,"HSP inhibitor","HSP90AA1","0.7451","1.8025","1.6439"
"5391","REP.A009_HEK293_24H:O13","BRD-K34157611","cimetidine","HEK293","trt_cp","10 uM","24 h",3,170,"0.1462","0.159415",1,0,1,1,0,"Histamine receptor antagonist","HRH2|SLC29A4|SLC47A1|SLC47A2","0.7449","1.8002","1.6435"
"5402","CPC020_VCAP_6H:BRD-K06750613-001-01-6:10","BRD-K06750613","GSK-1059615","VCAP","trt_cp","10 uM","6 h",5,404,"0.55","0.476653",1,1,1,1,0,"PI3K inhibitor","PIK3CA|PIK3CG","0.7448","1.7989","1.6432"
"5420","LIVB002_HUH7_72H:O09","BRD-A47598013","citalopram","HUH7","trt_cp","10 uM","72 h",3,139,"0.12","0.130596",0,0,1,1,0,"Serotonin receptor antagonist","SLC6A4|SLC6A2","0.7446","1.7964","1.6428"
"5437","CPC014_VCAP_6H:BRD-K16478699-001-02-7:10","BRD-K16478699","PLX-4720","VCAP","trt_cp","10 uM","6 h",5,108,"0.13","0.119816",0,0,1,1,0,"RAF inhibitor","BRAF|KDR","0.7444","1.7945","1.6425"
"5456","CPC018_HT29_6H:BRD-K63784565-001-02-1:10","BRD-K63784565","BRD-K63784565","HT29","trt_cp","10 uM","6 h",5,405,"0.11","0.213429",1,0,1,1,0,"Topoisomerase inhibitor","-666","0.7442","1.789","1.6421"
"5505","REP.A021_A549_24H:A08","BRD-M80207679","nemonapride","A549","trt_cp","3.33 uM","24 h",3,271,"0.3331","0.30381",0,0,1,1,0,"Dopamine receptor antagonist","DRD2|DRD3|DRD4","0.7437","1.741","1.6409"
"5539","REP.A024_THP1_24H:C01","BRD-K74065929","doramapimod","THP1","trt_cp","10 uM","24 h",2,122,"0.4078","0.225545",1,1,1,1,0,"P38 MAPK inhibitor","MAPK14|MAPK11|MAPK12|DDR2|MAPK13","0.7433","1.7179","1.6401"
"5580","TAA001_SHSY5Y_24H:B17","BRD-K77908580","entinostat","SHSY5Y","trt_cp","0.125 uM","24 h",2,293,"0.57","0.413239",0,0,1,1,0,"HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9","0.7429","1.7179","1.6391"
"5654","REP.A027_MCF10A_24H:D02","BRD-K93208532","apremilast","MCF10A","trt_cp","3.33 uM","24 h",3,182,"0.1381","0.160311",0,0,1,1,0,"Phosphodiesterase inhibitor","PDE4A|PDE4B|PDE4C|PDE4D|TNF|TNFRSF1A","0.7421","1.7179","1.6374"
"5665","REP.A020_HA1E_24H:I19","BRD-K45152786","merbarone","HA1E","trt_cp","10 uM","24 h",3,162,"0.3442","0.238778",0,0,1,1,0,"Topoisomerase inhibitor","TOP2A","0.742","1.7179","1.6372"
"5675","REP.A028_THP1_24H:M08","BRD-K96740444","itopride","THP1","trt_cp","3.33 uM","24 h",2,107,"0.0409","0.0668935",0,0,1,1,0,"Dopamine receptor antagonist","DRD2|ACHE|CHRM3","0.7419","1.7179","1.6369"
"5697","CPC015_MCF7_6H:P06","BRD-A41145729","methoprene-acid","MCF7","trt_cp","10 uM","6 h",5,296,"0.2095","0.251807",0,0,1,1,0,"Retinoid receptor agonist","RXRA","0.7418","1.7179","1.6366"
"5718","REP.A028_MCF7_24H:H11","BRD-A94276798","talinolol","MCF7","trt_cp","0.125 uM","24 h",3,229,"0.0326","0.0873689",0,0,1,1,0,"Adrenergic receptor antagonist","ADRB1","0.7415","1.7179","1.636"
"5819","CPC005_MCF7_6H:D16","BRD-K42095107","daidzein","MCF7","trt_cp","10 uM","6 h",4,137,"0.1531","0.146446",1,0,1,1,0,"Estrogen receptor agonist","ESRRA|ESRRB|ESRRG|TRPC5","0.7407","1.7179","1.6343"
"5856","REP.A004_A375_24H:I01","BRD-K22749967","ABT-239","A375","trt_cp","10 uM","24 h",3,247,"0.4579","0.340067",1,1,1,1,0,"Histamine receptor antagonist","HRH3|HRH1|HRH2","0.7403","1.7179","1.6333"
"5858","PAC005_U2OS_6H:BRD-A65280694-003-03-8:6.39315","BRD-A65280694","molindone","U2OS","trt_cp","6.66 uM","6 h",2,53,"0.26","0.118701",1,1,1,1,0,"Dopamine receptor antagonist","DRD2|HTR2A|DRD5|CHRM1|HRH1|HTR1A","0.7403","1.7179","1.6333"
"5885","REP.B024_THP1_24H:J02","BRD-K76775527","nimesulide","THP1","trt_cp","0.74 uM","24 h",2,106,"0.3484","0.194322",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS2|LTF|PLA2G2E|PTGS1","0.7401","1.7179","1.633"
"5891","REP.B011_HT29_24H:E01","BRD-K05104363","PD-184352","HT29","trt_cp","2.22 uM","24 h",2,565,"0.8053","0.682077",1,1,1,1,0,"MEK inhibitor","MAP2K1|MAP2K2|MAP3K1|MAP3K2","0.7401","1.7179","1.6329"
"5911","CPC006_MCF7_6H:BRD-K99818283-001-01-8:10","BRD-K99818283","PIK-90","MCF7","trt_cp","10 uM","6 h",5,311,"0.5","0.398745",1,1,1,1,0,"PI3K inhibitor","-666","0.7399","1.7179","1.6325"
"5949","REP.B027_YAPC_24H:L03","BRD-K93461745","buspirone","YAPC","trt_cp","0.25 uM","24 h",2,52,"0.1056","0.0749315",1,0,1,1,0,"Serotonin receptor agonist","HTR1A|DRD2","0.7395","1.7179","1.6317"
